word,weight,frequency,weight_pct,frequency_pct
,0,13162,0,0
Tonight-,0,1,0,0
GIGA_TV,0,1,0,0
XCOM,0,1,0,0
Szczecin,0,1,0,0
barrages,0,2,0,0
K-Words,0,1,0,0
Debts,0,1,0,0
Unblur,0,1,0,0
Poetry,0,1,0,0
yellow,0,1,0,0
Sugar,0,6,0,0
Campoo,0,1,0,0
Unifood,0,1,0,0
AnaHera,0,1,0,0
Electromyography,0,1,0,0
Foundation,0,5,0,0
Tiles,0,6,0,0
Umbrella,0,3,0,0
Wingabar,0,1,0,0
Frontier,0,1,0,0
Ronald,0,1,0,0
Efficiency,0,1,0,0
Heysham,0,1,0,0
CleanUp,0,1,0,0
SPL,0,2,0,0
Western,0,2,0,0
Kubik,0,1,0,0
MyCover,0,1,0,0
Weeks!,0,1,0,0
BIMxVGIS,0,1,0,0
Adguard,0,1,0,0
Retreat,0,3,0,0
SkyVPN-Best,0,1,0,0
Træning,0,3,0,0
Phanatic,0,1,0,0
Paraiba,0,1,0,0
Valli,0,1,0,0
Valle,0,1,0,0
Commentary,0,2,0,0
Blade,0,3,0,0
Stiftung,0,2,0,0
Natali,0,1,0,0
IXE,0,1,0,0
Blockbox,0,1,0,0
GuidaTour,0,1,0,0
Elevated,0,1,0,0
MBLEx,0,1,0,0
Priesthood,0,1,0,0
EyeSim,0,1,0,0
Seller,0,1,0,0
WARSZAWA,0,1,0,0
Reddy,0,1,0,0
Wrestlers,0,2,0,0
PixLab,0,1,0,0
disturb,0,1,0,0
basics,0,1,0,0
Participa,0,1,0,0
Paus,0,1,0,0
Less,0,1,0,0
Distal,0,1,0,0
REMS,0,1,0,0
haber,0,1,0,0
Feel,0,1,0,0
Darmowa,0,1,0,0
Nunavut,0,1,0,0
Oli,0,1,0,0
Tuesday,0,1,0,0
Paul,0,2,0,0
Omegle,0,2,0,0
Bolivia,0,5,0,0
Rotor,0,1,0,0
Playlist,0,13,0,0
Merlin,0,1,0,0
XLNC,0,1,0,0
Glitchtale,0,1,0,0
Toledo,0,1,0,0
Uninstaller,0,1,0,0
BEG,0,1,0,0
pulse,0,1,0,0
BEE,0,1,0,0
Allarmeteo,0,1,0,0
Matthew,0,1,0,0
second,0,3,0,0
Hockey,0,10,0,0
BER,0,1,0,0
AlgoJi,0,1,0,0
Ca,0,3,0,0
Hocker,0,1,0,0
APPlause,0,1,0,0
Afterlight,0,1,0,0
Verkeersadvies,0,1,0,0
EPSON,0,1,0,0
Spoofbox,0,1,0,0
Detail,0,1,0,0
Bux-Mont,0,1,0,0
cooking,0,2,0,0
Companion,0,9,0,0
Pidecisi,0,1,0,0
Champion-ship,0,1,0,0
Wrong,0,1,0,0
Barrage,0,2,0,0
Lingoa,0,1,0,0
Pomerode,0,2,0,0
Wday,0,1,0,0
Jewel!,0,1,0,0
SHRM,0,1,0,0
MyIndicators,0,1,0,0
Porridge,0,1,0,0
widget,0,1,0,0
Dijit,0,1,0,0
Synonym,0,2,0,0
Happening,0,1,0,0
Cover,0,3,0,0
Igreja,0,1,0,0
Measure,0,6,0,0
Truth,0,4,0,0
Budget,0,23,0,0
here,0,1,0,0
Stuttgart,0,1,0,0
JHwx,0,1,0,0
Limousin,0,1,0,0
Cazadora,0,1,0,0
Octopus,0,2,0,0
Aula,0,1,0,0
buddy,0,2,0,0
mobility,0,1,0,0
Colouring,0,5,0,0
kids,0,71,0,0
Fangkaoth,0,1,0,0
Góp,0,1,0,0
Orthopaedic,0,2,0,0
Insiders,0,1,0,0
k,0,8,0,0
auf,0,1,0,0
RydeBlueDriver,0,1,0,0
reports,0,1,0,0
SlipTo,0,1,0,0
KaiserTone,0,1,0,0
Inari,0,1,0,0
NOY,0,1,0,0
NOT,0,1,0,0
MyShifts,0,1,0,0
Alternative,0,3,0,0
NOW,0,3,0,0
Wienerroither,0,1,0,0
Tuttowrestling,0,1,0,0
golden,0,1,0,0
Maboor,0,1,0,0
SPS,0,1,0,0
Là,0,1,0,0
Lá,0,1,0,0
Touring,0,1,0,0
Values,0,2,0,0
Three,0,2,0,0
Airtime,0,1,0,0
Preferred,0,1,0,0
Skater,0,1,0,0
Basic,0,16,0,0
Wales,0,1,0,0
Detector,0,3,0,0
up!,0,1,0,0
BreakFast,0,3,0,0
unit,0,1,0,0
Jumper,0,9,0,0
cara,0,1,0,0
Pediatrics,0,1,0,0
Parkour-it,0,1,0,0
hoá,0,1,0,0
Valuer,0,1,0,0
aus,0,1,0,0
MLI,0,1,0,0
LEOLIFE,0,1,0,0
thích,0,3,0,0
CASIO,0,1,0,0
Levels,0,2,0,0
music,0,37,0,0
eTrade,0,1,0,0
strike,0,1,0,0
Pilipinas,0,1,0,0
von,0,1,0,0
Transator,0,1,0,0
Recent,0,1,0,0
BisTrack,0,1,0,0
Crafter,0,1,0,0
Christina,0,1,0,0
Hosp,0,1,0,0
relax,0,3,0,0
Kurzy,0,1,0,0
Clients,0,1,0,0
Deutschland,0,1,0,0
Skyobd,0,1,0,0
Sigaray,0,1,0,0
Dumps,0,1,0,0
Inform,0,1,0,0
RNDSapp,0,1,0,0
Aeroplane,0,2,0,0
Climbing,0,1,0,0
Coordinate,0,1,0,0
biblia,0,1,0,0
hole,0,1,0,0
hold,0,1,0,0
Torre,0,1,0,0
Bachata,0,1,0,0
Buoy,0,2,0,0
Monetizer,0,1,0,0
MDM,0,1,0,0
Chém,0,1,0,0
PodWatch,0,0,0,0
Món,0,1,0,0
Text,0,48,0,0
VeneziaToday,0,1,0,0
EDM,0,1,0,0
Battery,0,11,0,0
Luna,0,1,0,0
Lung,0,1,0,0
Colombia,0,7,0,0
EDU,0,1,0,0
PadelCel,0,1,0,0
Manager-Sales,0,0,0,0
Paperboy,0,1,0,0
MAINE,0,1,0,0
Cardiovascular,0,1,0,0
Usernames,0,2,0,0
Player!,0,1,0,0
AmpliNeuro,0,1,0,0
La,0,27,0,0
Positive,0,1,0,0
beIN,0,3,0,0
EZMaxMobile™,0,1,0,0
ouple,0,1,0,0
SlideShow,0,5,0,0
Reality,0,22,0,0
currency,0,2,0,0
Bike,0,26,0,0
Daze,0,1,0,0
Mandal,0,1,0,0
organizer,0,2,0,0
honest,0,1,0,0
Intensive,0,2,0,0
Imaginators,0,1,0,0
Persistence,0,1,0,0
LF,0,1,0,0
Tumblr,0,2,0,0
LD,0,0,0,0
LE,0,2,0,0
LC,0,1,0,0
-GANIN-,0,1,0,0
hypnosis,0,1,0,0
ComunicaCEB,0,1,0,0
travel,0,9,0,0
Attention,0,1,0,0
Notepad,0,7,0,0
Maritime,0,2,0,0
Killing,0,1,0,0
Anatomy,0,13,0,0
how,0,2,0,0
hot,0,4,0,0
LU,0,0,0,0
turistická,0,1,0,0
Combine,0,3,0,0
Nasihat,0,1,0,0
Here!,0,1,0,0
Falcon,0,1,0,0
AIA,0,2,0,0
LZ,0,1,0,0
Certified,0,5,0,0
A,0,151,0,0
Camerapluss,0,1,0,0
Bates,0,1,0,0
beauty,0,3,0,0
kfPlayer,0,1,0,0
JobXpense,0,1,0,0
Reminders,0,3,0,0
Charming,0,1,0,0
Players,0,2,0,0
Ö,0,1,0,0
Aloud,0,3,0,0
melodies,0,1,0,0
Nepal,0,5,0,0
Ejecutar,0,1,0,0
Sketches,0,1,0,0
Stickman,0,7,0,0
rhythms,0,1,0,0
Medicinal,0,2,0,0
Epargne,0,1,0,0
TrackMe,0,1,0,0
Norwich,0,1,0,0
Serbia,0,2,0,0
CFC,0,1,0,0
Générale,0,1,0,0
timers,0,1,0,0
Sequencer,0,2,0,0
Monat,0,1,0,0
Manitoba,0,1,0,0
Navigator,0,6,0,0
Customs,0,1,0,0
wind,0,3,0,0
